Tipo,Nome,Genero,Duracao,Produtora,Diretor,Ano,EpisodiosTemporada
S,Naruto,Anime,23,Pierrot,Hayato Date,2002,25-27-26-26-26-26-26-26-12
S,FullMetal Alchemist: Brotherhood,Anime-Acao-Fantasia,25,MBS,Yasuhiro Irie,2009,64
S,Haikyuu,Anime-Esporte,30,MBS,Susumu Mitsunaka,2014,25-25-10
S,Big Mouth,Comedia,30,Netflix,Nick Kroll,2017,10-10
S,Silicon Valley,Comedia,30,HBO,Mike Judge,2014,10-8-10-10-8
S,Friends,Comedia,21,Bright/Kauffman/Crane Productions,Kevin Bright,1994,24-24-25-24-24-25-24-24-24-18
S,Final Space,Comedia-Acao-Ficcao Cientifica,30,TBS,Mike Roberts,2018,10
S,American Gods,Drama-Suspense-Fantasia,60,Starz,Bryan Fullerm,2017,8
S,Black Mirror,Drama-SciFi-Suspense,60,Netflix,Charlie Brooker,2011,3-3-6-6
S,Brooklyn Nine-Nine,Comedia-Acao,30,Fremulon,Dan Goor,2013,22-23-23-22-22
S,The OA,Drama-Suspense,60,Netflix,Zal Batmanglij,2016,8
S,Stranger Things,Drama-SciFi-Terror-Supernatural,60,Netflix,The Duffer Brothers,2016,8-9
S,Rick and Morty,Comedia-Ficcao Cientifica,30,Adult Swim,Justin Roiland,2013,11-10-10
S,Mr. Robot,Drama-Suspense Psicologico,65,UCP,Sam Esmail,2015,10-12-10
S,Hilda,Infantil-Animacao-Fantasia-Aventura,30,Netflix,Andy Coyle,2018,13
S,Game of Thrones,Acao-Fantasia,60,HBO,David Benioff,2011,10-10-10-10-10-10-7
S,Shigatsu wa Kimi no Uso,Anime-Romance-Comedia-Musica,20,A-1 Pictures,Ky�?hei Ishiguro,2014,22
S,BoJack Horseman,Comedia-Drama-Animacao,30,Netflix,Raphael Bob-Waksberg,2014,12-12-12-12-12
S,Vikings,Drama-Acao-Historia,45,History,Michael Hirst,2013,9-10-10-20-10
F,Big Fish & Begonia,Anime,105,Beijing Enlight Media,Liang Xuan,2016,1
F,Star Wars VI - O Retorno do Jedi,Fantasia-Acao-Aventura-SciFi,130,20th Century Fox,George Lucas,1983,1
F,Star Wars V - O Imperio Contra-Ataca,Fantasia-Acao-Aventura-SciFi,120,20th Century Fox,Richard Marquand,1980,1
F,Star Wars VII - O Despertar da Forca,Fantasia-Acao-Aventura-SciFi,135,Walt Disney Studios Motion Pictures,J. J. Abrams,2015,1
F,Harry Potter and the Order of the Phoenix,Fantasia-Aventura,138,Heyday Films,David Yates,2007,1
F,Star Wars VIII - Os Ultimos Jedi,Fantasia-Acao-Aventura-SciFi,150,Walt Disney Studios Motion Pictures,Rian Johnson,2017,1
F,Pacific Rim,Ficcao cientifica,132,Legendary Pictures,Guillermo del Toro,2013,1
F,Star Wars II - Ataque dos Clones,Fantasia-Acao-Aventura-SciFi,140,20th Century Fox,George Lucas,2002,1
F,Star Wars IV - Uma Nova Esperanca,Fantasia-Acao-Aventura-SciFi,120,20th Century Fox,Irvin Kershner,1977,1
F,Harry Potter and the Goblet of Fire,Fantasia-Aventura,157,Heyday Films,Mike Newell,2005,1
F,Titanic,Drama,195,Paramount Pictures,James Cameron,1997,1
F,Star Wars I - A Ameaca Fantasma,Fantasia-Acao-Aventura-SciFi,130,20th Century Fox,George Lucas,1999,1
F,Harry Potter and the Chamber of Secrets,Fantasia-Aventura,161,Heyday Films,Chris Columbus,2002,1
F,Harry Potter and the Half-Blood Prince,Fantasia-Aventura,153,Heyday Films,David Yates,2009,1
F,Harry Potter and the Prisoner of Azkaban,Fantasia-Aventura,142,Heyday Films,Alfonso Cuaron,2004,1
F,Your Name,Anime-Romance,107,CoMix,Makoto Shinkai,2016,1
F,Star Wars III - A Vinganca dos Sith,Fantasia-Acao-Aventura-SciFi,140,20th Century Fox,George Lucas,2005,1
F,Harry Potter and the Philosopher's Stone,Fantasia-Aventura,152,Heyday Films,Chris Columbus,2001,1
F,Pokemon 2000,Anime-Aventura-Acao,80,OLM,Kunihiko Yuyama,2000,1
F,Harry Potter and the Deathly Hallows  Part 2,Fantasia-Aventura,130,Heyday Films,David Yates,2011,1
F,Harry Potter and the Deathly Hallows  Part 1,Fantasia-Aventura,146,Heyday Films,David Yates,2010,1
